feature,coefficient
account,4.130220844211527
amazon,3.622545569747678
access,2.9740961279452347
trading,2.883923021583951
earn,2.7147637959670483
guaranteed,2.5946690213016694
microsoft,2.4516426480730353
hour,2.387509080397589
bank,2.3706437781616687
purchase,2.287473283716001
promotional_words,2.2829447298589383
return,2.274502950202608
income,2.2707911482005416
get,2.243402457562719
receive,2.2288416844538372
credential_words,2.1613913686447725
currency_count,2.136346109474639
urgency_words,2.125774262374066
exclamation_count,2.0677553684153542
join,2.059305427181626
financial_words,2.055641075018473
alert,2.0500739603948097
warning,2.0307464520187684
investment,2.016929256296498
banking,2.004210616099611
proven,1.986426302886791
requires,1.9697074502798242
google,1.953673841358353
supplement,1.9407593942333246
secure,1.9324647457948958
lose,1.9089140020218858
fear_words,1.9064388200108005
security,1.8993000822503523
social,1.8823870381933743
loss,1.8406606060736777
revoke,1.8212799436989804
redeem,1.8196177726389378
saving,1.7758099782371246
country,1.76857986488975
storage,1.6935345058969182
double,1.6779309678130614
spot,1.668932352671461
device,1.6640989437313307
first,1.634775121945553
buy,1.6256451323678318
suspicious,1.6200179093146945
apple,1.6111306191398151
back,1.601769686121986
opportunity,1.5682506470192046
luxury,1.5664880626014097
international,1.5556556689451628
membersonly,1.5533588677810064
signal,1.5393007801782357
subscribe,1.5393007801782357
backup,1.5332958652005622
prize,1.5248828552153337
wallet,1.5144493754736086
avoid,1.5117313266006331
channel,1.5072334633385382
accessed,1.5060594918234804
owes,1.4910866004640992
record,1.4586809895062303
tip,1.4537135942957022
unauthorized,1.4464392126384293
provide,1.4404384588488357
overdue,1.4395868355221881
friend,1.4336781735516746
important,1.422568101930948
continue,1.420389491581117
flagged,1.4123610843422665
free,1.4045318644264908
settle,1.3998230557734197
suspicious_domain_count,1.3827864913953287
url_count,1.3827864913953287
card,1.379589039052033
notice,1.3722428005247238
restore,1.365570731903355
marketing,1.3387766075669183
guarantee,1.337952030971574
weekend,1.3206412597460329
required,1.3029146997556038
immediate,1.282280146139786
suspension,1.2761616070223945
icloud,1.2600171566947336
could,1.2531589311035536
attempting,1.2407618565980858
activity,1.2404527721449619
gift,1.2391291977914398
listed,1.2368029632099236
delivery,1.230507638346345
reward,1.227667672839645
build,1.2217419745464797
start,1.1997020961033202
address,1.1968896711618509
link,1.1957195694158151
method,1.1853757061316061
invest,1.182028466791497
earned,1.179545870879104
grow,1.172382878009392
aipowered,1.172382878009392
earning,1.140809341476122
commission,1.1326675880730892
point,1.116185046190467
clicking,1.1140515738579435
profile,1.1094973141255802
blockchain,1.108959805390781
changed,1.0965093819272316
update,1.0935478277298891
due,1.0919086072786022
generate,1.0906433715581254
deposit,1.0866744904557408
claim,1.0835360732300738
limited,1.0811281610124175
caps_ratio,1.0679715088477713
loan,1.0529213836766722
crypto,1.052674642487258
immediately,1.0512232110746798
external,1.0361823791650353
score,1.0335972972468268
final,1.020758298884109
block,1.019228122045444
recover,1.0082657937436148
failure,1.0068162529684392
passive,1.0058841542242707
restricted,1.0038689658040778
sweepstakes,0.9843099315101184
cash,0.9707774049459803
money,0.933310691054526
medium,0.930808878794298
modified,0.9285159662210231
qualify,0.9259986506571668
fee,0.9159046333923472
proceeding,0.9133084868858629
enter,0.8980537550825679
stock,0.8769914322911152
future,0.8732089928407037
make,0.8701508609155811
verification,0.8662736819979908
increase,0.8622160631011437
expert,0.8618778705175456
order,0.8390594522015988
click,0.8285165069545957
used,0.8222613763221769
token,0.8137175568079289
upgrade,0.8116278851363761
information,0.8080990127803871
itunes,0.7952987917870755
daily,0.7941204666930286
register,0.7887093612461599
code,0.779743500056929
price,0.7759730923430497
profit,0.7753461826474958
action_verbs_count,0.7725046905295865
transferred,0.7687911576337226
photo,0.7606315720460076
expire,0.7572639614634892
recording,0.7535078057124451
deactivated,0.7476421295431116
disabled,0.7474596671559354
deny,0.7273846233666367
eligible,0.7206318965077326
national,0.7122144449063661
withdraw,0.711159002390691
iphone,0.7047612901018683
express,0.7006975402270428
revoked,0.6976089727578662
outstanding,0.6871578492871335
respond,0.6839205196888631
online,0.683578676919598
transfer,0.6807833562372385
directory,0.6786107868422439
additional,0.6536760277159837
collection,0.6523111900194136
shared,0.652109372994152
suspended,0.65128625727556
credential,0.6496248697732597
process,0.6481207161833833
email,0.6437174472092633
lost,0.6437080738898707
shipment,0.6391745614643124
attempted,0.6268626598009557
charge,0.6196744537129955
bitcoin,0.6014970212861985
attempt,0.5996873112995339
detail,0.5802898744251995
bonus,0.5778449995798629
settlement,0.5684719273231192
unrecognized,0.5654013390882369
survey,0.5650046804177006
many,0.564255547248001
youtube,0.5605723672720755
resume,0.5569699497549078
date,0.5530307300048649
payment,0.5519882387839694
via,0.5443775830998941
share,0.5443375765266135
payroll,0.5385488258324317
thousand,0.5367180015935283
failed,0.5333745670614904
see,0.5297581364526137
break,0.5146776759252623
foreign,0.5142551070771446
fund,0.5138386098559559
coinbase,0.5112323337099389
delivered,0.4992505550873165
apply,0.4960865002528373
corp,0.494907570917232
btc,0.48559908244929906
routing,0.48381184006328076
sell,0.48206836002151415
password,0.46966725175532953
mailbox,0.4650316357646404
interruption,0.4625235058165123
provided,0.45995471634711477
package,0.4585086898295744
legal,0.45783491893805045
violation,0.45688838027013473
growth,0.45579706591409425
direct,0.45392787011861396
shop,0.4523053825671552
mandatory,0.4463777350052376
azure,0.4352217018694619
form,0.4251161562464735
corporate,0.4186382221029449
premium,0.4030402656323734
urgent,0.4003790900667636
contact,0.3988034224676257
tomorrow,0.39859686072812744
act,0.38457274982644174
unusual,0.37532639376989063
logged,0.3751732985692522
unless,0.3743535132430745
signup,0.37404313461484223
send,0.3720892209423945
compliance,0.3705157650944332
guideline,0.3696794219091688
must,0.3649672419303962
risk,0.36477574355726466
inv,0.36374718909127707
detected,0.3629113334596772
recovery,0.35328843055040327
rate,0.3529286710413856
reset,0.3442371845054765
admin,0.3437265691159201
expires,0.3429036897072753
match,0.33997245767869533
platform,0.3356085152072177
help,0.33082442846014415
correction,0.3275065646676394
connect,0.3260827006336176
airdrop,0.3260827006336176
monthly,0.3144761601934725
store,0.3137477106431447
billing,0.3110931222461649
weekly,0.3055750027576758
unclaimed,0.2985889769086631
locked,0.2965892991244825
month,0.29542067278517803
using,0.2880038699773542
someone,0.2823549271391919
onedrive,0.27987562868492144
id,0.2674645245584172
debit,0.26696239496591434
credit,0.26478198736487735
mexico,0.2623206430234425
kyc,0.26229337195103825
trial,0.2613653794400066
confirm,0.2588416613610162
documentation,0.25223066108847575
appeal,0.2508099751004805
user,0.2483242434395015
frozen,0.24820907884373986
prevent,0.24297895572928968
guide,0.24287058922044819
binance,0.24244063681818717
sending,0.237235289262363
identity,0.2350168644363952
phone,0.23355844696907793
signin,0.22978954321178247
end,0.22308534942555633
demand,0.22060478263727354
notification,0.2193743970940765
recertification,0.21770584232977686
stop,0.2169297877662114
deal,0.21040508693433219
unknown,0.20917894845302795
new,0.20724348315114063
may,0.19543580773963984
home,0.19531075007562673
action,0.19469145950937378
zero,0.19152358105088202
compromised,0.1893733282616021
nonpayment,0.18520126172211074
wire,0.18274936194534694
keep,0.18030305453884507
salary,0.17808488616769694
annual,0.17778411054071266
desk,0.17381061197682915
experience,0.16534944871885662
market,0.16455282661358406
student,0.16344440967305884
find,0.1632581235995224
paypal,0.16095534480412263
resource,0.16085122704751784
reenter,0.15716628726554108
multiple,0.15575125667404574
real,0.15396081844501966
estate,0.15396081844501966
irs,0.14851772024885215
gmail,0.14531275093977425
temporarily,0.14119690893726927
overpayment,0.14099601577536472
closed,0.14001318100423069
benefit,0.13677542837919918
prime,0.13467710890155066
balance,0.1335972438484932
exclusive,0.1286117352871224
initiated,0.12677391278347644
selected,0.1236471100444195
call,0.11860282574169559
previous,0.11738883311912368
limit,0.11417240196360667
paycheck,0.10625309487426488
started,0.1045732735871473
automated,0.10288793947546278
registration,0.10070475304491701
app,0.10068797346826375
logging,0.09182197328480493
staff,0.09132562895351329
ip,0.08577715886727345
twofactor,0.08563889626669718
made,0.0816347024978326
worth,0.0808621064730837
million,0.08025656593618369
winner,0.07924288147991446
tax,0.07751310234664023
cancel,0.07717021421746871
workspace,0.07578707047389145
pay,0.07452486183848692
noticed,0.07346125770606013
owed,0.07145893902680758
install,0.0689032698588664
sign,0.063272201490569
unlock,0.06260791490063514
overseas,0.061894695729125246
begin,0.0587466202322098
withdrawal,0.05364450099383773
ending,0.053357062125516504
successful,0.04691927679203864
paid,0.04498368791425665
brand,0.043924104688255104
github,0.042293613779428085
sent,0.04134598587878328
resolve,0.03882166221131131
grant,0.03878668562929663
show,0.0378277954069449
rebate,0.03701572907016941
hmrc,0.03701572907016941
deleted,0.03582573368611728
discount,0.03278872976236908
file,0.03241386061888695
financial,0.026018139680382826
cryptocurrency,0.019949411395420325
info,0.016274475184507885
verified,0.008022058784314352
lottery,0.007346077801461989
cancellation,0.0005190239542121455
shortener_sender,0.0
contains_verify,0.0
contains_update,0.0
suspicious_tld_sender,0.0
contains_microsoft,0.0
contains_paypal,0.0
contains_amazon,0.0
contains_google,0.0
email_count,0.0
html_tag_count,0.0
form_detection,0.0
contains_bank,0.0
contains_login,0.0
contains_security,0.0
javascript_detection,0.0
shortened_count,0.0
merge,-0.004247362046678823
fix,-0.007695201210793971
result,-0.008199189568104294
proceed,-0.008376105695542535
day,-0.012977380876726972
without,-0.022570782503943558
initial,-0.023857391452850273
revised,-0.02803119228920982
submit,-0.029385563080455604
drive,-0.031772949977331974
location,-0.03435081168411387
vacation,-0.03531618904283823
midnight,-0.036916037532478456
within,-0.03859370279178712
verify,-0.041642228635397995
document,-0.04678585753327962
folder,-0.04946738616211936
funding,-0.056070004843655485
personal,-0.0584529910206122
pending,-0.05937593710963632
strategy,-0.06464022122995895
remaining,-0.06722853697737785
breach,-0.06816018139975137
joining,-0.07257074364533254
referral,-0.08187735336566292
deadline,-0.08431942645411068
like,-0.08439366213176348
fedex,-0.08477312111418264
event,-0.09468553627420322
large,-0.09763245810965432
six,-0.09887012501072368
adjustment,-0.10833373569667186
cfo,-0.10835627526843063
asset,-0.10873194992797802
enterprise,-0.11138649201923746
meet,-0.11201422037856565
cloud,-0.11605734819308712
fraud,-0.11815540184330704
travel,-0.11998838072168148
last,-0.12143669112894473
let,-0.12488347404648838
schema,-0.1276426919776221
item,-0.1296971600502081
mentorship,-0.13108611839416565
evening,-0.13343452559969549
catalog,-0.13451841654175756
proposed,-0.13844688836706476
licensing,-0.14128092779873744
added,-0.14170797119771633
status,-0.14424992458092778
interview,-0.14440776009276912
spring,-0.14515123455147494
member,-0.145330398700921
complexity,-0.1454951764945814
requirement,-0.14549833086409825
assessment,-0.14822806333568259
ux,-0.15022748602252292
readout,-0.15022748602252292
moving,-0.1519794160090575
velocity,-0.1557779917464874
sla,-0.1558041193797744
reprioritized,-0.15685556944010964
option,-0.15772886493534075
roadmap,-0.1589231513604646
application,-0.15938900765835254
limiting,-0.16067508712677378
